Student ID,Hostel,Year,Branch1,Branch2
561,AH6,2,CHE,NONE
562,AH6,2,CHE,NONE
563,AH6,2,CHE,NONE
564,AH6,2,CHE,NONE
565,AH6,2,CHE,NONE
566,AH6,2,CHE,NONE
567,AH6,2,CHE,NONE
568,AH6,2,CHE,NONE
569,AH6,2,CHE,NONE
570,AH6,2,CHE,NONE
571,AH6,2,CHE,NONE
572,AH8,2,CHE,NONE
573,AH8,2,CHE,NONE
574,AH8,2,CHE,NONE
575,AH8,2,CHE,NONE
576,AH8,2,CHE,NONE
577,AH8,2,CHE,NONE
578,AH8,2,CHE,NONE
579,AH8,2,CHE,NONE
580,AH8,2,CHE,NONE
581,AH8,2,CHE,NONE
582,AH8,2,CHE,NONE
583,AH9,2,CHE,NONE
584,AH9,2,CHE,NONE
585,AH9,2,CHE,NONE
586,AH9,2,CHE,NONE
587,AH9,2,CHE,NONE
588,AH9,2,CHE,NONE
589,AH9,2,CHE,NONE
590,AH9,2,CHE,NONE
591,AH9,2,CHE,NONE
592,AH9,2,CHE,NONE
593,AH9,2,CHE,NONE
594,AH9,2,CHE,NONE
595,AH9,2,CHE,NONE
596,AH9,2,CHE,NONE
597,AH9,2,CHE,NONE
598,AH9,2,CHE,NONE
599,AH9,2,CHE,NONE
600,AH9,2,CHE,NONE
601,AH9,2,CHE,NONE
602,CH4,2,CHE,NONE
603,CH4,2,CHE,NONE
604,CH4,2,CHE,NONE
605,CH6,2,CHE,NONE
606,CH6,2,CHE,NONE
607,CH5,2,CHE,NONE
608,CH5,2,CHE,NONE
609,CH5,2,CHE,NONE
610,CH5,2,CHE,NONE
611,CH5,2,CHE,NONE
612,CH5,2,CHE,NONE
613,CH5,2,CHE,NONE
614,CH5,2,CHE,NONE
615,CH5,2,CHE,NONE
616,AH1,2,CHE,NONE
617,CH1,2,CHE,NONE
618,CH1,2,CHE,NONE
619,CH1,2,CHE,NONE
620,DH5,2,CHE,NONE
621,DH5,2,CHE,NONE
622,DH5,2,CHE,NONE
623,DH5,2,CHE,NONE
624,DH5,2,CHE,NONE
625,AH6,2,CHE,NONE
626,AH6,2,CHE,NONE
627,AH6,2,CHE,NONE
628,AH6,2,CHE,NONE
